"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2021-017BP","47783.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.0281",,"0.0156","SpaceBEE 40",NULL,"0.1","0.284","0.9","2021-006AN","47449.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2021-017BQ","47784.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2021-012BR","47683.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.0281",,"0.0156","SpaceBEE 41",NULL,"0.1","0.284","0.9","2021-006AQ","47451.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 1979",NULL,"1.5","260","8.86","2021-009AF","47577.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 2068",NULL,"1.5","260","8.86","2021-017A","47722.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2021-017BR","47785.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2021-017BS","47786.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.0281",,"0.0156","SpaceBEE 42",NULL,"0.1","0.284","0.9","2021-006AU","47455.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 3649",NULL,"1.5","260","8.86","2022-025AA","51980.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 2107",NULL,"1.5","260","8.86","2021-017B","47723.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0281",,"0.0156","SpaceBEE 55",NULL,"0.1","0.284","0.9","2021-006AY","47459.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 2116",NULL,"1.5","260","8.86","2021-017C","47724.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 3635",NULL,"1.5","260","8.86","2022-025AB","51981.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"1.35024",,"0.832667","GeeSat-1 04",NULL,"0.5","130","2","2022-058D","52788.0","1","0.5","0.25","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 2125",NULL,"1.5","260","8.86","2021-017D","47725.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0281",,"0.0156","SpaceBEE 54",NULL,"0.1","0.284","0.9","2021-006AZ","47460.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 2126",NULL,"1.5","260","8.86","2021-017E","47726.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0281",,"0.0156","SpaceBEE 58",NULL,"0.1","0.284","0.9","2021-006BD","47464.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 2129",NULL,"1.5","260","8.86","2021-017F","47727.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0281",,"0.0156","SpaceBEE 57",NULL,"0.1","0.284","0.9","2021-006BE","47465.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"23.657",,"13.5615","Starlink 2131",NULL,"1.5","260","8.86","2021-017G","47728.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
